<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.01.21	333.57	334.69	313.49	318.35	103360	0	3
2022.01.24	305.14	307.42	283.82	300.88	130868	0	5
2022.01.25	302.41	316.92	298.77	310.20	83744	0	4
2022.01.26	318.84	329.10	302.02	311.72	99738	0	2
2022.01.27	308.29	316.38	277.11	279.37	137070	0	1
2022.01.28	278.77	285.79	264.00	278.09	117833	0	2
2022.01.31	287.91	312.24	283.77	310.24	76457	0	3
2022.02.01	310.77	315.70	301.66	309.73	82942	0	2
2022.02.02	312.77	314.74	296.52	301.30	70590	0	2
2022.02.03	293.78	312.28	291.77	299.12	81312	0	2
2022.02.04	300.98	312.15	293.70	308.85	77174	0	3
2022.02.07	307.80	315.85	302.50	302.93	67343	0	1
2022.02.08	302.86	308.69	298.28	307.54	60157	0	2
2022.02.09	311.50	315.30	307.39	310.89	50624	0	2
2022.02.10	308.93	314.59	300.67	300.85	73877	0	2
2022.02.11	300.51	305.15	283.58	284.17	79430	0	2
2022.02.14	280.73	299.58	279.30	291.76	82455	0	2
2022.02.15	300.36	307.22	297.75	305.56	53529	0	2
2022.02.16	307.14	309.01	300.41	307.64	55991	0	2
2022.02.17	304.45	306.10	291.94	292.94	53483	0	2
2022.02.18	295.50	295.99	279.21	285.47	73788	0	1
2022.02.22	280.61	285.47	267.03	274.08	95542	0	1
2022.02.23	279.51	279.63	254.72	254.77	90136	0	2
2022.02.24	239.47	265.58	230.58	264.21	113530	0	2
2022.02.25	268.86	275.46	260.87	268.32	81266	0	1
2022.02.28	267.89	292.22	266.67	286.73	84687	0	2
2022.03.01	286.00	296.55	285.33	286.37	78170	0	2
2022.03.02	290.00	295.37	281.48	293.78	73732	0	2
2022.03.03	290.72	295.42	278.09	278.25	73912	0	1
2022.03.04	275.49	285.10	275.08	277.07	77298	0	1
2022.03.07	274.15	288.68	268.52	269.93	77299	0	2
2022.03.08	269.99	283.26	260.81	275.38	82825	0	2
2022.03.09	282.05	286.83	277.36	285.97	61537	0	2
2022.03.10	283.13	284.68	270.16	278.12	61934	0	1
2022.03.11	280.75	285.46	264.58	265.86	71287	0	0
2022.03.14	267.19	267.41	252.02	254.59	74853	0	2
2022.03.15	253.64	268.12	252.18	267.80	66599	0	1
2022.03.16	274.58	280.24	267.50	278.57	68819	0	2
2022.03.17	277.80	291.64	275.32	290.77	58241	0	2
2022.03.18	289.16	301.24	287.52	300.56	56808	0	2
2022.03.21	304.57	314.21	302.40	306.75	74560	0	2
2022.03.22	311.90	332.53	307.26	332.12	69029	0	2
2022.03.23	326.90	346.84	325.36	333.18	94733	0	1
2022.03.24	336.18	341.38	329.60	337.31	68957	0	3
2022.03.25	336.35	340.50	332.47	334.55	63802	0	3
2022.03.28	335.01	365.91	335.01	363.20	87043	0	3
2022.03.29	371.81	372.53	357.70	366.38	72675	0	4
2022.03.30	364.09	371.25	361.30	363.08	56787	0	3
2022.03.31	366.62	367.65	360.49	362.26	49998	0	2
2022.04.01	357.90	364.86	355.55	359.95	55650	0	3
2022.04.04	365.40	383.25	357.62	379.57	62244	0	3
2022.04.05	379.02	384.19	362.87	363.37	76777	0	3
2022.04.06	356.76	359.60	342.58	349.93	89083	0	3
2022.04.07	355.64	358.78	340.50	354.20	84742	0	2
2022.04.08	353.15	354.46	340.83	343.71	68838	0	2
