<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.07.03	278.32	284.24	275.12	279.82	75177	0	0
2023.07.05	277.05	282.92	276.80	282.78	84487	0	0
2023.07.06	280.23	281.38	272.92	277.36	81717	0	0
2023.07.07	275.30	280.77	274.07	274.62	77644	0	0
2023.07.10	275.03	277.51	265.11	268.68	92484	0	0
2023.07.11	271.00	271.00	266.37	269.67	72443	0	0
2023.07.12	272.07	277.65	271.36	272.64	72902	0	0
2023.07.13	274.49	279.43	270.61	279.17	57958	0	0
2023.07.14	276.20	285.29	276.20	280.41	77203	0	0
2023.07.17	286.00	292.21	283.59	289.93	82857	0	0
2023.07.18	290.70	294.41	286.02	294.41	67614	0	0
2023.07.19	293.35	299.29	289.54	292.56	80822	0	0
2023.07.20	282.30	283.34	261.21	264.20	100540	0	0
2023.07.21	267.21	267.97	255.81	260.78	132435	0	0
2023.07.24	256.52	269.83	254.16	269.02	106290	0	0
2023.07.25	273.11	273.42	265.43	266.25	112984	0	0
2023.07.26	264.18	268.02	261.77	265.09	69477	0	0
2023.07.27	268.76	269.56	256.05	256.65	70343	0	0
2023.07.28	259.27	267.24	258.12	265.74	57486	0	0
2023.07.31	266.07	269.04	263.78	266.29	66051	0	0
2023.08.01	265.56	266.91	260.27	260.51	52900	0	0
2023.08.02	253.97	259.51	250.51	253.82	84642	0	0
2023.08.03	255.35	260.48	251.35	259.37	80650	0	0
2023.08.04	262.29	264.74	253.22	253.49	84997	0	0
2023.08.07	255.30	255.67	242.78	249.98	93524	0	0
2023.08.08	249.27	250.91	245.02	249.64	82743	0	0
2023.08.09	251.58	251.68	242.21	243.63	73615	0	0
2023.08.10	244.03	251.79	242.28	244.61	92500	0	0
2023.08.11	242.80	244.47	238.20	242.38	79134	0	0
2023.08.14	238.32	240.65	233.78	239.09	105349	0	0
2023.08.15	237.93	240.48	232.62	232.93	73960	0	0
2023.08.16	229.31	233.86	226.01	226.33	91565	0	0
2023.08.17	228.67	228.80	219.16	219.24	82637	0	0
2023.08.18	214.87	217.57	212.37	215.33	105734	0	0
2023.08.21	222.71	231.06	220.60	230.30	88604	0	0
2023.08.22	239.57	241.54	229.57	232.27	108858	0	0
2023.08.23	234.94	238.97	226.50	237.98	82355	0	0
2023.08.24	241.27	241.95	228.19	230.58	94550	0	0
2023.08.25	228.85	238.90	227.87	238.33	118748	0	0
2023.08.28	239.96	244.45	235.37	238.60	98853	0	0
2023.08.29	239.79	257.01	237.21	256.42	86570	0	0
2023.08.30	254.98	260.50	250.60	256.58	100528	0	0
2023.08.31	255.41	260.14	255.06	260.10	88955	0	0
2023.09.01	257.03	259.32	242.52	244.25	100828	0	0
2023.09.05	244.65	257.99	243.14	256.87	82186	0	0
2023.09.06	255.43	257.45	245.07	252.08	79279	0	0
2023.09.07	248.42	252.80	243.27	252.03	84254	0	0
2023.09.08	249.87	256.49	246.67	247.84	86514	0	0
2023.09.11	262.67	274.84	260.63	273.37	97722	0	0
2023.09.12	271.89	278.37	266.62	267.50	87678	0	0
2023.09.13	268.58	274.96	267.11	270.65	71473	0	0
2023.09.14	272.56	276.70	270.46	275.82	74894	0	0
2023.09.15	277.05	278.95	271.05	273.17	79966	0	0
2023.09.18	273.96	276.14	263.78	264.89	80659	0	0
2023.09.19	266.78	267.83	261.21	266.40	71435	0	0
2023.09.20	267.08	273.93	262.82	262.82	86369	0	0
2023.09.21	259.29	260.82	254.24	257.15	85300	0	0
2023.09.22	257.87	258.45	245.48	245.98	84275	0	0
2023.09.25	243.98	247.06	238.33	245.70	87408	0	0
2023.09.26	242.91	249.54	241.69	244.19	79455	0	0
2023.09.27	245.42	246.29	234.59	239.88	97364	0	0
2023.09.28	239.49	247.54	238.67	245.39	92759	0	0
2023.09.29	250.25	254.76	246.37	249.89	82081	0	0
2023.10.02	250.94	254.28	239.36	250.84	104060	0	0
2023.10.03	250.04	250.25	244.46	246.27	77094	0	0
2023.10.04	245.71	261.73	245.04	261.24	81772	0	0
2023.10.05	259.79	263.59	256.26	260.45	80588	0	0
2023.10.06	256.60	261.64	250.67	261.02	80017	0	0
2023.10.09	255.93	261.35	252.05	260.26	65183	0	0
2023.10.10	259.34	268.93	257.43	263.81	83144	0	0
2023.10.11	265.17	268.58	260.91	263.66	66289	0	0
2023.10.12	263.64	265.38	256.65	258.66	75526	0	0
2023.10.13	255.84	259.56	250.23	250.51	93274	0	0
2023.10.16	248.56	255.38	247.57	254.77	70391	0	0
2023.10.17	252.64	257.18	247.08	254.06	74675	0	0
2023.10.18	252.98	254.60	242.08	242.80	78451	0	0
2023.10.19	231.57	231.62	216.79	217.64	131814	0	0
2023.10.20	220.22	220.22	210.43	212.03	87915	0	0
2023.10.23	208.33	216.89	202.52	212.39	92511	0	0
2023.10.24	216.75	222.04	214.12	216.61	83990	0	0
2023.10.25	215.05	220.09	212.85	212.89	96316	0	0
2023.10.26	206.87	214.80	204.89	206.04	108231	0	0
2023.10.27	210.56	212.39	205.78	206.24	87973	0	0
2023.10.30	210.06	210.86	194.68	197.39	130487	0	0
2023.10.31	194.92	202.79	194.09	200.91	92062	0	0
2023.11.01	202.54	205.16	197.85	204.96	95553	0	0
2023.11.02	210.59	219.19	210.41	217.65	74705	0	0
2023.11.03	216.39	226.36	216.19	219.00	92724	0	0
2023.11.06	223.83	226.28	215.01	218.82	68897	0	0
2023.11.07	217.47	222.93	215.73	222.41	83269	0	0
2023.11.08	221.87	224.13	217.65	222.53	67234	0	0
2023.11.09	220.46	220.78	206.69	209.15	120589	0	0
2023.11.10	207.40	215.36	205.72	214.28	91268	0	0
2023.11.13	215.49	225.38	211.63	223.64	83567	0	0
2023.11.14	226.96	238.02	226.41	237.56	113031	0	0
2023.11.15	240.74	246.69	236.45	243.96	97538	0	0
2023.11.16	241.04	241.36	230.97	233.83	88717	0	0
2023.11.17	234.15	237.38	226.55	234.59	98025	0	0
2023.11.20	236.17	237.09	231.02	236.74	76146	0	0
2023.11.21	237.28	243.60	233.36	241.35	78049	0	0
2023.11.22	242.93	244.01	231.47	233.68	86550	0	0
2023.11.24	232.32	238.75	231.80	235.52	47077	0	0
2023.11.27	236.12	238.32	232.10	236.97	71843	0	0
2023.11.28	237.07	246.51	234.01	246.34	82520	0	0
2023.11.29	249.55	252.74	242.77	243.92	114920	0	0
2023.11.30	245.57	246.87	238.25	240.09	106054	0	0
2023.12.01	237.87	240.18	231.92	238.26	104551	0	0
2023.12.04	238.98	239.36	233.31	236.37	97941	0	0
2023.12.05	232.78	246.65	232.51	238.38	113721	0	0
2023.12.06	241.54	246.55	239.76	240.42	122028	0	0
2023.12.07	240.44	244.07	237.00	241.95	96591	0	0
2023.12.08	242.65	245.25	239.30	243.41	99551	0	0
2023.12.11	242.32	244.99	237.47	239.42	79498	0	0
2023.12.12	240.44	241.16	233.88	236.83	64338	0	0
2023.12.13	234.53	240.29	228.21	238.23	122475	0	0
2023.12.14	241.75	253.87	240.11	250.27	88053	0	0
2023.12.15	252.95	254.20	248.32	252.69	93450	0	0
2023.12.18	253.86	258.73	251.38	252.13	67425	0	0
2023.12.19	253.15	258.33	252.56	256.51	66836	0	0
2023.12.20	255.93	259.83	247.31	249.28	80573	0	0
2023.12.21	250.15	254.79	248.56	253.84	88193	0	0
2023.12.22	254.94	258.21	251.40	252.72	66297	0	0
2023.12.26	254.04	257.96	252.93	257.10	54760	0	0
2023.12.27	257.17	263.34	257.11	260.65	50419	0	0
2023.12.28	264.31	265.11	252.74	254.03	66686	0	0
2023.12.29	255.23	255.58	247.46	249.19	64680	0	0
2024.01.02	248.80	251.23	244.42	246.53	85284	0	0
2024.01.03	246.10	246.33	236.33	238.61	90110	0	0
2024.01.04	240.80	242.68	237.53	239.29	69083	0	0
2024.01.05	235.95	240.11	235.02	237.27	69708	0	0
2024.01.08	235.71	241.15	235.32	240.67	52960	0	0
2024.01.09	238.82	239.43	232.04	234.54	60027	0	0
2024.01.10	236.20	236.40	231.30	232.90	47657	0	0
2024.01.11	235.95	235.98	225.38	227.07	84458	0	0
2024.01.12	220.59	225.33	217.16	219.21	70775	0	0
2024.01.16	214.13	223.48	212.20	219.52	69256	0	0
2024.01.17	216.43	217.02	212.02	215.03	52690	0	0
2024.01.18	218.07	219.27	208.75	211.15	62725	0	0
2024.01.19	208.88	213.17	207.56	211.06	49982	0	0
2024.01.22	214.86	217.77	206.28	209.12	73329	0	0
2024.01.23	209.55	215.63	207.78	208.58	54135	0	0
2024.01.24	211.06	212.79	206.79	208.10	56852	0	0
2024.01.25	191.96	192.78	180.07	182.84	109922	0	0
2024.01.26	184.21	186.47	182.11	182.83	54279	0	0
2024.01.29	185.22	191.44	183.69	190.33	52921	0	0
2024.01.30	195.49	196.34	190.61	191.74	58428	0	0
2024.01.31	185.55	193.94	185.24	187.71	73021	0	0
2024.02.01	190.99	191.07	184.30	188.82	52682	0	0
2024.02.02	187.20	188.68	182.21	188.13	62491	0	0
2024.02.05	185.41	186.37	175.02	180.42	67607	0	0
2024.02.06	177.04	186.48	175.86	184.30	70308	0	0
2024.02.07	186.67	190.59	182.70	188.60	67797	0	0
2024.02.08	189.74	191.60	185.59	189.16	49436	0	0
2024.02.09	190.35	194.11	189.49	192.45	50474	0	0
2024.02.12	194.74	194.91	187.29	188.16	55144	0	0
2024.02.13	186.62	187.43	181.96	183.14	57982	0	0
2024.02.14	185.84	188.82	183.37	188.71	43668	0	0
2024.02.15	189.85	199.86	188.89	199.83	53502	0	0
2024.02.16	204.42	204.57	197.41	199.69	70841	0	0
2024.02.20	196.47	198.60	189.14	193.13	63193	0	0
2024.02.21	193.17	199.43	191.53	194.53	59928	0	0
2024.02.22	196.76	198.31	191.38	197.93	53199	0	0
2024.02.23	195.08	197.57	191.75	192.18	46879	0	0
2024.02.26	191.43	201.77	191.34	199.38	59021	0	0
2024.02.27	202.42	205.58	198.27	199.07	59708	0	0
2024.02.28	200.05	205.30	198.46	202.28	48064	0	0
2024.02.29	201.86	205.25	198.46	201.10	47980	0	0
2024.03.01	200.62	204.51	198.51	202.88	43814	0	0
2024.03.04	199.46	200.77	186.74	189.20	47454	0	0
2024.03.05	183.67	185.41	177.58	180.36	61152	0	0
2024.03.06	182.54	182.85	173.71	176.52	62164	0	0
2024.03.07	174.55	180.02	172.13	179.37	50321	0	0
2024.03.08	179.99	183.76	174.72	175.31	61404	0	0
2024.03.11	176.08	182.86	174.83	176.94	51932	0	0
2024.03.12	179.70	180.27	172.42	178.31	49731	0	0
2024.03.13	174.19	176.04	169.30	169.67	52652	0	0
2024.03.14	166.64	171.15	160.52	161.22	55523	0	0
2024.03.15	164.36	165.17	160.77	163.08	43051	0	0
2024.03.18	168.19	174.71	165.91	174.09	47430	0	0
2024.03.19	174.26	174.92	167.44	171.52	42045	0	0
2024.03.20	172.68	176.12	170.83	176.09	47122	0	0
2024.03.21	177.08	178.37	171.81	173.10	39296	0	0
2024.03.22	167.55	171.19	165.44	170.94	38209	0	0
2024.03.25	169.24	175.22	167.73	172.53	34876	0	0
2024.03.26	178.28	184.24	177.52	178.09	42677	0	0
2024.03.27	179.19	181.89	176.02	179.52	37029	0	0
2024.03.28	179.54	180.34	175.31	175.34	40159	0	0
2024.04.01	177.96	178.28	170.23	173.55	32507	0	0
2024.04.02	172.47	174.40	162.01	165.97	52346	0	0
2024.04.03	165.28	168.80	163.30	167.71	35797	0	0
2024.04.04	169.71	177.18	168.03	171.16	43893	0	0
2024.04.05	172.09	172.43	160.53	165.28	72675	0	0
2024.04.08	170.69	174.49	167.38	172.72	49180	0	0
2024.04.09	172.55	179.22	171.63	176.02	42072	0	0
2024.04.10	177.63	178.33	170.02	171.64	48191	0	0
2024.04.11	171.00	175.83	168.52	175.58	42169	0	0
2024.04.12	172.69	173.79	170.38	171.20	31111	0	0
2024.04.15	169.94	170.66	161.63	162.39	36660	0	0
2024.04.16	157.67	158.52	153.75	157.03	46969	0	0
2024.04.17	159.27	159.33	153.79	156.32	34709	0	0
2024.04.18	154.91	155.01	148.72	150.44	38359	0	0
2024.04.19	147.37	150.92	145.31	146.47	37958	0	0
2024.04.22	143.49	144.42	138.84	142.04	43667	0	0
2024.04.23	142.85	147.24	141.13	145.06	34421	0	0
2024.04.24	159.70	167.95	157.53	161.88	76681	0	0
2024.04.25	162.89	170.87	158.04	169.06	64799	0	0
2024.04.26	172.55	172.55	166.38	167.62	56223	0	0
2024.04.29	181.09	198.85	181.02	193.97	110553	0	0
2024.04.30	189.24	191.32	182.85	183.92	59404	0	0
2024.05.01	178.59	185.84	178.04	181.95	62344	0	0
2024.05.02	184.06	184.58	176.04	180.41	46849	0	0
2024.05.03	179.65	184.76	178.44	181.16	44276	0	0
2024.05.06	183.28	187.54	182.04	184.71	36856	0	0
2024.05.07	180.29	183.20	177.41	177.68	36551	0	0
2024.05.08	176.54	176.70	170.17	174.47	39146	0	0
2024.05.09	172.57	175.87	171.47	171.52	27976	0	0
2024.05.10	173.68	173.88	167.76	168.81	30622	0	0
2024.05.13	169.64	175.40	168.73	171.96	33217	0	0
2024.05.14	172.32	179.48	171.28	177.73	44002	0	0
2024.05.15	178.76	181.78	173.13	174.09	38308	0	0
2024.05.16	174.52	175.78	171.45	174.73	27856	0	0
2024.05.17	175.10	179.62	172.76	177.41	33977	0	0
2024.05.20	178.05	178.76	173.53	174.85	27830	0	0
2024.05.21	173.47	186.54	173.47	185.58	38874	0	0
2024.05.22	183.76	184.11	178.13	179.30	40886	0	0
2024.05.23	181.97	182.79	173.27	174.02	38448	0	0
2024.05.24	174.22	180.07	173.74	179.69	32254	0	0
2024.05.28	178.82	178.87	173.17	176.19	33169	0	0
2024.05.29	175.07	178.13	173.91	177.46	30228	0	0
2024.05.30	175.62	182.65	175.40	178.18	42395	0	0
2024.05.31	177.79	180.51	173.85	176.36	36496	0	0
2024.06.03	178.33	182.62	174.50	175.96	46509	0	0
2024.06.04	176.05	177.75	174.00	175.57	41451	0	0
2024.06.05	175.37	176.23	172.14	174.74	32182	0	0
2024.06.06	174.40	179.71	172.74	178.48	35481	0	0
2024.06.07	177.55	179.34	175.37	177.33	36910	0	0
2024.06.10	176.81	178.55	173.18	173.82	30847	0	0
2024.06.11	173.66	174.71	167.43	169.69	31583	0	0
2024.06.12	169.66	180.54	169.66	177.49	53261	0	0
2024.06.13	185.88	191.55	181.96	182.73	65521	0	0
2024.06.14	184.57	186.39	176.93	177.89	40358	0	0
2024.06.17	178.73	188.79	176.52	188.32	43946	0	0
2024.06.18	187.94	187.97	182.38	184.72	32022	0	0
2024.06.20	185.46	185.62	179.67	181.50	33091	0	0
2024.06.21	180.60	183.92	180.33	182.28	27300	0	0
2024.06.24	182.46	188.35	182.45	183.62	35436	0	0
2024.06.25	182.37	187.96	182.04	187.32	32228	0	0
2024.06.26	186.98	197.75	186.32	197.46	45050	0	0
2024.06.27	194.75	198.70	194.13	197.69	39641	0	0
2024.06.28	198.73	203.18	195.28	196.33	49794	0	0
2024.07.01	201.75	213.22	199.89	211.09	67797	0	0
2024.07.02	206.94	231.13	205.65	229.61	105969	0	0
2024.07.03	239.43	248.33	232.61	246.56	91369	0	0
2024.07.05	250.63	253.18	242.49	249.98	89982	0	0
2024.07.08	247.77	259.42	244.60	251.33	88960	0	0
2024.07.09	251.92	265.58	250.04	263.04	86322	0	0
2024.07.10	262.12	267.58	257.89	265.39	75265	0	0
2024.07.11	261.65	270.87	239.67	242.74	167804	0	0
2024.07.12	237.11	251.82	233.10	249.77	102807	0	0
2024.07.15	259.30	265.55	252.86	253.38	110905	0	0
2024.07.16	256.34	258.58	245.87	256.57	81692	0	0
2024.07.17	252.14	258.44	246.19	247.33	89739	0	0
2024.07.18	251.85	257.12	247.21	249.54	93850	0	0
2024.07.19	247.93	250.37	236.84	239.66	74301	0	0
2024.07.22	242.38	253.19	241.41	252.09	69795	0	0
2024.07.23	253.33	255.70	245.64	247.23	62070	0	0
2024.07.24	226.97	227.70	214.72	218.57	81675	0	0
2024.07.25	211.84	225.97	211.47	222.43	80579	0	0
2024.07.26	224.24	225.40	215.34	220.28	63915	0	0
2024.07.29	221.42	234.25	221.36	231.69	71134	0	0
2024.07.30	232.30	235.34	220.01	221.37	66131	0	0
2024.07.31	225.41	234.66	223.70	232.68	59536	0	0
2024.08.01	231.34	231.86	214.34	215.63	71997	0	0
2024.08.02	217.63	218.73	205.78	206.31	80652	0	0
2024.08.05	193.08	203.86	181.99	197.26	134716	0	0
2024.08.06	199.89	203.55	192.69	201.47	84959	0	0
2024.08.07	202.17	203.47	191.87	193.30	84070	0	0
2024.08.08	190.72	200.69	189.68	199.16	69535	0	0
2024.08.09	201.32	201.36	195.13	199.88	55219	0	0
2024.08.12	200.24	200.63	194.68	197.83	52437	0	0
2024.08.13	197.65	208.46	196.61	207.83	50883	0	0
2024.08.14	206.99	210.63	198.77	200.33	60776	0	0
2024.08.15	202.10	215.87	200.88	214.63	58656	0	0
2024.08.16	215.50	219.79	210.74	216.45	53102	0	0
2024.08.19	214.48	222.98	214.09	222.66	53176	0	0
2024.08.20	223.72	228.20	219.58	221.39	56844	0	0
2024.08.21	219.91	224.64	218.88	222.33	60639	0	0
2024.08.22	223.56	225.50	211.33	211.47	68566	0	0
2024.08.23	213.56	221.46	212.54	220.05	75776	0	0
2024.08.26	220.18	220.56	211.02	212.25	50992	0	0
2024.08.27	214.26	215.64	206.98	209.82	51755	0	0
2024.08.28	209.33	211.80	202.59	205.74	56290	0	0
2024.08.29	207.81	214.88	205.71	207.11	71561	0	0
2024.08.30	209.37	212.62	207.08	211.98	53725	0	0
2024.09.03	213.75	219.87	210.10	210.36	69566	0	0
2024.09.04	209.31	222.22	207.50	219.08	76343	0	0
2024.09.05	224.63	234.99	222.28	228.88	99377	0	0
2024.09.06	227.04	227.11	226.81	226.86	97	0	6
